user_id,pto_pred,target
857,6.817227,14
858,6.541185,23
859,5.743131,7
860,9.029026,11
861,5.721173,5
862,4.6370482,0
863,2.1792045,0
864,6.6920404,7
865,2.2154434,0
866,5.047341,4
867,8.222431,10
868,2.508188,3
869,3.44577,1
870,0.4702112,0
871,2.8315418,4
872,6.240339,1
873,7.397577,10
874,6.1602554,8
875,2.3174915,0
876,5.092479,2
877,5.4822745,3
878,8.119958,7
879,10.0875025,12
880,5.252111,6
881,7.0539885,3
882,3.2230701,5
883,4.067836,6
884,0.4702112,0
885,0.4702112,13
886,4.366078,9
887,8.34834,13
888,2.0288866,4
889,2.257091,0
890,6.317805,0
891,1.2395209,4
892,6.748803,16
893,5.000397,5
894,0.4702112,0
895,5.6085167,10
896,3.8756535,0
897,5.3741593,5
898,0.4702112,0
899,7.6387887,10
900,7.074191,1
901,7.4237547,13
902,1.5704701,0
903,6.1536665,0
904,6.4911876,3
905,6.7317343,4
906,4.9596143,4
907,6.824783,7
908,3.056563,0
909,1.9949777,4
910,4.5662265,1
911,6.0137544,4
912,7.6106534,5
913,4.6593757,2
914,3.8366296,4
915,5.858887,3
916,2.3816175,9
917,5.5325317,1
918,5.1373615,5
919,6.6095977,9
920,5.2244782,4
921,4.5353317,3
922,2.3878357,0
923,4.2686343,3
924,3.8900704,1
925,2.3878357,0
926,3.8597853,1
927,7.3989387,10
928,5.823922,5
929,4.6984596,9
930,7.8025355,0
931,4.965569,1
932,6.72861,12
933,8.604153,6
934,3.339037,1
935,1.3738816,3
936,4.279584,0
937,4.883016,3
938,5.012278,8
939,5.3674445,6
940,5.39938,8
941,5.418427,3
942,5.4135175,9
943,4.866417,1
944,0.4702112,0
945,5.824083,2
946,3.76191,4
947,6.065714,2
948,5.391903,9
949,8.007521,27
950,1.9221569,0
951,0.4702112,0
952,4.0773606,3
953,1.5704701,0
954,5.057144,4
955,3.7091343,5
956,3.3638241,2
957,2.3878357,0
958,2.3731961,1
959,2.909223,0
960,7.099562,13
961,3.085298,3
962,6.6285224,4
963,4.289543,1
964,2.1831808,0
965,3.8289664,1
966,3.4729369,3
967,6.8625016,12
968,3.025437,0
969,2.4766588,1
970,4.5487847,0
971,6.857819,1
972,4.825255,4
973,4.028018,4
974,0.37915015,2
975,5.471923,9
976,5.33586,9
977,1.5704701,0
978,5.2940373,0
979,5.470341,5
980,1.3222452,0
981,6.4011073,9
982,1.861426,0
983,4.496661,8
984,4.1768613,3
985,0.4702112,0
986,5.1113462,3
987,4.316474,0
988,6.615208,3
989,3.0348418,2
990,3.5416782,0
991,6.604113,10
992,4.983341,3
993,2.3878357,0
994,1.1081226,0
995,0.4702112,0
996,3.602084,9
997,7.010424,10
998,6.3227105,11
999,7.5265384,7
1000,4.5523057,1
1001,6.711981,8
1002,6.306082,8
1003,3.0074708,3
1004,7.005736,16
1005,1.1750457,4
1006,3.9434555,14
1007,6.5587544,14
1008,0.4702112,0
1009,8.374383,16
1010,6.8640513,3
1011,4.191776,0
1012,5.1390405,1
1013,7.281051,6
1014,0.4702112,0
1015,4.086282,3
1016,6.8274236,16
1017,7.214546,4
1018,2.3878357,0
1019,3.1283758,0
1020,6.9074435,12
1021,2.6773057,0
1022,4.7764974,6
1023,2.4659295,13
1024,5.941301,6
1025,5.239065,5
1026,2.3819427,0
1027,1.2159476,2
1028,0.4702112,0
1029,6.448917,5
1030,6.028155,10
1031,5.2002673,3
1032,3.6920977,4
1033,5.5670953,3
1034,3.1647322,10
1035,9.229632,12
1036,6.349048,8
1037,5.1606717,9
1038,7.032084,5
1039,0.4702112,0
1040,3.7067463,8
1041,4.818938,4
1042,4.833714,3
1043,3.711942,1
1044,4.5283847,1
1045,5.5723243,1
1046,6.575527,18
1047,1.1236496,2
1048,5.8796997,4
1049,7.8378415,10
1050,5.6443124,6
1051,1.1047195,0
1052,3.5734205,0
1053,3.9679048,5
1054,1.8179802,0
1055,8.439503,9
1056,1.8399442,0
1057,4.1583314,3
1058,1.2552481,0
1059,1.9687937,0
1060,5.0602503,11
1061,2.9396422,2
1062,1.1081226,0
1063,3.6936176,7
1064,1.2589954,4
1065,4.884888,5
1066,5.157663,4
1067,3.909776,2
1068,7.8180676,10
1069,1.1081226,6
1070,1.1577926,0
1071,3.8206913,4
1072,3.9024465,1
1073,0.77286786,1
1074,6.05419,5
1075,4.1651115,8
1076,2.4273913,2
1077,4.2711377,2
1078,3.4716904,3
1079,7.973179,9
1080,6.0311584,3
1081,3.7633746,0
1082,5.0865192,1
1083,2.648189,0
1084,4.1539183,0
1085,3.7592523,9
1086,0.77286786,2
1087,2.3878357,2
1088,0.4702112,1
1089,5.142014,7
1090,5.5702233,1
1091,4.3837194,2
1092,0.4702112,0
1093,5.387663,0
1094,5.239927,2
1095,6.187383,2
1096,1.2159476,0
1097,2.2108872,0
1098,6.4289894,9
1099,0.4702112,0
1100,6.8066216,11
1101,5.067559,4
1102,6.945144,0
1103,0.4702112,4
1104,3.505453,5
1105,5.1498237,6
1106,2.7585633,2
1107,3.8075383,1
1108,0.4702112,0
1109,9.022553,11
1110,3.8777199,13
1111,3.7160535,6
1112,0.4702112,0
1113,5.584577,0
1114,2.936253,7
1115,2.2988913,8
1116,0.4702112,0
1117,6.8740644,4
1118,2.2493834,0
1119,5.5210695,5
1120,2.3558218,0
1121,0.37915015,2
1122,6.0819774,7
1123,10.177852,11
1124,3.5966556,6
1125,5.0673795,5
1126,3.7133384,3
1127,6.0711904,4
1128,5.9988856,10
1129,5.67662,0
1130,4.2490907,2
1131,5.54845,11
1132,6.8743615,10
1133,2.7142224,3
1134,1.3222452,0
1135,4.9434347,9
1136,5.357447,1
1137,2.4256747,0
1138,4.925764,2
1139,4.8412623,8
1140,0.4702112,0
1141,5.8982215,3
1142,1.3701338,0
1143,5.429926,8
1144,3.1443017,2
1145,5.1895866,3
1146,0.4702112,0
1147,3.8632731,1
1148,6.627965,8
1149,5.8507104,6
1150,7.623011,0
1151,6.7653165,6
1152,0.4702112,0
1153,4.0456214,6
1154,6.821528,0
1155,6.269702,8
1156,3.932575,1
1157,3.8581455,6
1158,6.672747,5
1159,5.6932693,10
1160,5.0816746,4
1161,4.2803383,8
1162,4.66779,1
1163,5.062472,8
1164,0.4702112,0
1165,7.413834,6
1166,6.8236136,3
1167,3.1361387,0
1168,3.0631073,10
1169,2.0421305,0
1170,4.8205876,0
1171,6.7667184,5
1172,5.047575,2
1173,5.944108,6
1174,3.9958177,3
1175,0.4702112,0
1176,2.4012463,0
1177,5.781073,4
1178,4.2174745,12
1179,6.9334793,7
1180,4.805719,0
1181,4.7267537,0
1182,5.246872,11
1183,2.9145901,1
1184,4.334557,6
1185,3.2073302,0
1186,2.6534255,1
1187,5.871243,10
1188,5.441135,3
1189,3.9369974,6
